stage,ep,reward,success,steps,total_steps,critic_loss,actor_loss
4,661,122.87355607886275,1,323,790668,0.8603338988572821,21.933917051498366
4,662,92.4930013534613,1,460,791128,0.8371106892176297,21.389568602520487
4,663,-79.92422699928284,2,30,791158,0.9133946756521861,21.97146333058675
4,664,-25.0299874630291,2,154,791312,0.8999851613075702,22.01147696259734
4,665,69.65851720247883,1,300,791612,0.7838630619645118,21.8047270488739
4,666,-124.69540312886238,2,198,791810,0.7842417457188019,21.601889961897726
4,667,89.45941016077995,1,175,791985,0.8259891695635659,21.31047024863107
4,668,-49.36479203402996,2,49,792034,0.7956589496865565,21.590116228376115
4,669,88.70689143048367,1,247,792281,0.8160414221557045,21.85009868328388
4,670,106.49288001214154,1,420,792701,0.8066395755325045,21.552175265266783
4,671,89.29486579231161,1,535,793236,0.746207365365786,21.491628712805632
4,672,-51.570182010531425,2,65,793301,0.8816323848871085,21.821206283569335
4,673,90.90045375563204,1,215,793516,0.8146655943504599,21.2962334655052
4,674,-269.91676891967654,2,738,794254,0.7702726646248241,21.486545150519063
4,675,78.91939055919647,1,110,794364,0.8839195709336888,22.001051729375664
4,676,-5.427751956623979,1,296,794660,0.8171051041902723,21.326613187789917
4,677,-69.16714468598366,2,31,794691,0.8644076547315044,21.77967809861706
4,678,115.76835522055626,1,216,794907,0.7471849503064597,21.50284152560764
4,679,-31.47812945919577,2,148,795055,0.718569511900077,21.538579244871396
4,680,91.55738439888228,1,291,795346,0.7918977209997341,21.595783771108515
4,681,-69.63027763366699,2,89,795435,0.7227011302883706,21.42534112394526
4,682,66.34141132235527,1,123,795558,0.8780229062568851,21.67273605160597
4,683,-185.67096447199583,2,655,796213,0.7852342808064614,21.610904475204816
4,684,121.42779745775624,1,437,796650,0.8325658447409658,21.47713055381513
4,685,-42.6748970746994,2,60,796710,0.7149047861496608,21.881175549825034
4,686,150.72159361839294,1,303,797013,0.8024367267149116,21.35503609660435
4,687,64.8098739721172,1,604,797617,0.794796488488352,21.338655241277834
4,688,-141.4725683927536,2,104,797721,0.8954902999103069,21.504167538422806
4,689,143.52671149373055,1,274,797995,0.8303686631639509,21.37889672717909
4,690,-39.45171195268631,2,49,798044,0.8431802969806048,21.31673964675592
4,691,-79.24467910919338,1,245,798289,0.8100174056023968,21.385787395555145
4,692,-79.04831910133362,2,49,798338,0.7247057909868202,21.433081354413712
4,693,119.87480759248137,1,341,798679,0.8154799407703086,21.315774629542556
4,694,-129.55994550138712,2,323,799002,0.798203474227858,21.36758649607561
4,695,110.76569545269012,1,187,799189,0.7980473908511075,21.165320330125127
4,696,-95.41482505202293,2,154,799343,0.8871379651419529,21.61548444822237
4,697,-12.451871113582456,1,301,799644,0.7745484406765909,21.508364183166098
